title,original_title,year,duration_mins,rating,votes,countries_available,url,mubi_url
Aftersun,,2022,102,9.0,158983,85,https://mubifinder.com/movie/aftersun/,https://mubi.com/films/aftersun
Exodus,,2022,59,8.6,1280,96,https://mubifinder.com/movie/exodus-2022/,https://mubi.com/films/exodus-2022
Barbarossa,,2022,66,8.2,666,96,https://mubifinder.com/movie/barbarossa/,https://mubi.com/films/barbarossa
Rabiye Kurnaz vs. George W. Bush,Rabiye Kurnaz gegen George W. Bush,2022,119,8.6,3692,2,https://mubifinder.com/movie/rabiye-kurnaz-vs-george-w-bush/,https://mubi.com/films/rabiye-kurnaz-vs-george-w-bush
Big Brother,Storebror,2022,59,8.4,661,96,https://mubifinder.com/movie/big-brother-2022/,https://mubi.com/films/big-brother-2022
Decision to Leave,헤어질 결심 | Heojil kyolshim,2022,139,8.5,42247,67,https://mubifinder.com/movie/decision-to-leave/,https://mubi.com/films/decision-to-leave
Blank Narcissus (Passion of the Swamp),,2022,12,7.3,17296,230,https://mubifinder.com/movie/blank-narcissus-passion-of-the-swamp/,https://mubi.com/films/blank-narcissus-passion-of-the-swamp
The Congress Dances,Kongressen danser,2022,66,8.3,698,96,https://mubifinder.com/movie/the-congress-dances/,https://mubi.com/films/the-congress-dances
Halmar,,2022,59,8.2,928,96,https://mubifinder.com/movie/halmar/,https://mubi.com/films/halmar
Pandæmonium,,1997,78,8.4,1267,96,https://mubifinder.com/movie/pandaemonium-1997/,https://mubi.com/films/pandaemonium-1997
Mors In Tabula,,1997,63,8.2,1587,96,https://mubifinder.com/movie/mors-in-tabula/,https://mubi.com/films/mors-in-tabula
Gargantua,,1997,77,8.3,1185,96,https://mubifinder.com/movie/gargantua-1997/,https://mubi.com/films/gargantua-1997
Birds of Passage,Trækfuglene,1997,79,8.3,1255,96,https://mubifinder.com/movie/birds-of-passage-1997/,https://mubi.com/films/birds-of-passage-1997
The Living Dead,De levende døde,1994,77,8.7,1867,96,https://mubifinder.com/movie/the-living-dead-1994/,https://mubi.com/films/the-living-dead-1994
Thy Kingdom Come,Alliancen kalder,1994,67,8.3,1953,96,https://mubifinder.com/movie/thy-kingdom-come-1994/,https://mubi.com/films/thy-kingdom-come-1994
The Unheavenly Host,Den hvide flok,1994,64,8.4,4383,96,https://mubifinder.com/movie/the-unheavenly-host/,https://mubi.com/films/the-unheavenly-host
A Foreign Body,Et fremmed legeme,1994,71,8.5,1691,96,https://mubifinder.com/movie/a-foreign-body-1994/,https://mubi.com/films/a-foreign-body-1994
The Box,La caja,2021,92,7.9,3000,52,https://mubifinder.com/movie/the-box-2021-lorenzo-vigas/,https://mubi.com/films/the-box-2021-lorenzo-vigas
Time to Love,Sevmek Zamanı,1965,91,8.5,13805,248,https://mubifinder.com/movie/time-to-love/,https://mubi.com/films/time-to-love
The African Desperate,,2022,100,7.3,9505,248,https://mubifinder.com/movie/the-african-desperate/,https://mubi.com/films/the-african-desperate
Free Chol Soo Lee,,2022,86,8.6,3341,54,https://mubifinder.com/movie/free-chol-soo-lee/,https://mubi.com/films/free-chol-soo-lee
Invisible Demons,,2021,70,8.7,7648,54,https://mubifinder.com/movie/invisible-demons/,https://mubi.com/films/invisible-demons
One Second,一秒钟 | Yi miao zhong,2020,103,8.4,2383,15,https://mubifinder.com/movie/one-second/,https://mubi.com/films/one-second
A Chiara,,2021,122,7.9,6150,35,https://mubifinder.com/movie/a-chiara/,https://mubi.com/films/a-chiara
The Humans,,2021,107,7.4,12903,51,https://mubifinder.com/movie/the-humans/,https://mubi.com/films/the-humans
Faya Dayi,,2021,119,8.5,2858,60,https://mubifinder.com/movie/faya-dayi/,https://mubi.com/films/faya-dayi
Crimes of the Future,,2022,108,7.5,26215,43,https://mubifinder.com/movie/crimes-of-the-future-2022/,https://mubi.com/films/crimes-of-the-future-2022
North Terminal,Terminal norte,2021,37,7.8,4103,239,https://mubifinder.com/movie/terminal-norte/,https://mubi.com/films/terminal-norte
Pleasure,,2021,108,7.4,32695,36,https://mubifinder.com/movie/pleasure-2020/,https://mubi.com/films/pleasure-2020
Red & Black,La rouge et la noire,2011,74,6.0,103,228,https://mubifinder.com/movie/red-black/,https://mubi.com/films/red-black
"Paris, 13th District",Les olympiades,2021,106,8.2,25920,44,https://mubifinder.com/movie/les-olympiades/,https://mubi.com/films/les-olympiades
Great Freedom,Große Freiheit,2021,117,8.9,23327,181,https://mubifinder.com/movie/great-freedom/,https://mubi.com/films/great-freedom
The Absent Stone,La piedra ausente,2013,81,7.9,404,236,https://mubifinder.com/movie/the-absent-stone/,https://mubi.com/films/the-absent-stone
"Lingui, The Sacred Bonds",Lingui,2021,88,8.7,5993,89,https://mubifinder.com/movie/lingui/,https://mubi.com/films/lingui
Train Again,,2021,20,7.7,2984,248,https://mubifinder.com/movie/train-again/,https://mubi.com/films/train-again
Motion Picture (Employees Leaving the Lumière Factory),Motion Picture (La Sortie des Ouvriers de l'Usine Lumière à Lyon),1984,3,4.6,1684,248,https://mubifinder.com/movie/motion-picture-la-sortie-des-ouvriers-de-lusine-lumiere-a-lyon/,https://mubi.com/films/motion-picture-la-sortie-des-ouvriers-de-lusine-lumiere-a-lyon
Miniatures: Many Berlin Artists in Hoisdorf,Miniaturen – Viele Berliner Künstler in Hoisdorf,1983,16,6.2,1124,248,https://mubifinder.com/movie/miniatures-many-berlin-artists-in-hoisdorf/,https://mubi.com/films/miniatures-many-berlin-artists-in-hoisdorf
Lamb,Dýrið,2021,107,7.5,31999,41,https://mubifinder.com/movie/lamb-2020/,https://mubi.com/films/lamb-2020
Petite Maman,,2021,73,8.6,19070,42,https://mubifinder.com/movie/petite-maman/,https://mubi.com/films/petite-maman
Taste,Vị,2021,98,6.7,2047,87,https://mubifinder.com/movie/taste-2021/,https://mubi.com/films/taste-2021
Cow,,2021,98,8.5,7390,46,https://mubifinder.com/movie/cow-2021/,https://mubi.com/films/cow-2021
Benedetta,,2021,132,7.5,10768,41,https://mubifinder.com/movie/benedetta/,https://mubi.com/films/benedetta
Get Ready,,1999,1,6.7,2097,248,https://mubifinder.com/movie/get-ready/,https://mubi.com/films/get-ready
Titane,,2021,108,7.4,34752,56,https://mubifinder.com/movie/titane/,https://mubi.com/films/titane
What Do We See When We Look at the Sky?,"Ras vkhedavt, rodesac cas vukurebt?",2021,171,8.1,5559,81,https://mubifinder.com/movie/what-do-we-see-when-we-look-at-the-sky/,https://mubi.com/films/what-do-we-see-when-we-look-at-the-sky
Fly,Mosca,2011,98,7.2,268,157,https://mubifinder.com/movie/fly-2011/,https://mubi.com/films/fly-2011
Lopez Street,Calle López,2013,81,8.2,503,231,https://mubifinder.com/movie/lopez-street/,https://mubi.com/films/lopez-street
Azor,,2021,100,7.8,4829,61,https://mubifinder.com/movie/azor/,https://mubi.com/films/azor
Manufraktur,,1985,3,6.7,3482,248,https://mubifinder.com/movie/manufraktur/,https://mubi.com/films/manufraktur
The Second Game,Al doilea joc,2014,97,6.8,510,240,https://mubifinder.com/movie/the-second-game/,https://mubi.com/films/the-second-game
Cryptozoo,,2021,108,8.2,2878,172,https://mubifinder.com/movie/cryptozoo/,https://mubi.com/films/cryptozoo
An Appropriated Self-Portrait,Autorretrato Apropiado,2014,102,7.5,308,244,https://mubifinder.com/movie/an-appropriated-self-portrait/,https://mubi.com/films/an-appropriated-self-portrait
Sweat,,2020,128,7.4,13216,32,https://mubifinder.com/movie/sweat-2020/,https://mubi.com/films/sweat-2020
First Cow,,2019,122,8.5,27508,175,https://mubifinder.com/movie/first-cow/,https://mubi.com/films/first-cow
Shiva Baby,,2020,77,8.2,119704,93,https://mubifinder.com/movie/shiva-baby-2020/,https://mubi.com/films/shiva-baby-2020
Léa,,2011,93,6.6,1131,211,https://mubifinder.com/movie/lea/,https://mubi.com/films/lea
Plan 9 from Outer Space,,1959,78,5.9,4331,248,https://mubifinder.com/movie/plan-9-from-outer-space/,https://mubi.com/films/plan-9-from-outer-space
A Cambodian Spring,,2016,127,8.6,1198,248,https://mubifinder.com/movie/a-cambodian-spring/,https://mubi.com/films/a-cambodian-spring
Casa Grande,,2014,114,7.7,2899,198,https://mubifinder.com/movie/casa-grande/,https://mubi.com/films/casa-grande
Soundtrack to War,,2005,95,7.1,211,187,https://mubifinder.com/movie/soundtrack-to-war/,https://mubi.com/films/soundtrack-to-war
Traveling on One Leg,Reisende auf einem Bein (Voyager sur une jambe),2015,51,7.2,647,193,https://mubifinder.com/movie/traveling-on-one-leg/,https://mubi.com/films/traveling-on-one-leg
The Park,Le Park,2015,14,6.3,848,211,https://mubifinder.com/movie/le-park/,https://mubi.com/films/le-park
The Factory,A Fábrica,2011,15,8.2,4737,248,https://mubifinder.com/movie/the-factory-2011/,https://mubi.com/films/the-factory-2011
Beginning,Dasatskisi,2020,125,7.8,5317,55,https://mubifinder.com/movie/beginning-2020/,https://mubi.com/films/beginning-2020
"Baxter, Vera Baxter",,1977,91,6.9,1708,212,https://mubifinder.com/movie/baxter-vera-baxter/,https://mubi.com/films/baxter-vera-baxter
The Disobedient,Neposlušni,2014,112,6.6,596,224,https://mubifinder.com/movie/the-disobedient/,https://mubi.com/films/the-disobedient
Manila,,2009,90,7.0,579,233,https://mubifinder.com/movie/manila/,https://mubi.com/films/manila
Zero Bridge,,2008,97,7.3,406,217,https://mubifinder.com/movie/zero-bridge/,https://mubi.com/films/zero-bridge
Severed Ways: The Norse Discovery of America,,2007,109,5.8,94,222,https://mubifinder.com/movie/severed-ways/,https://mubi.com/films/severed-ways
Jeny303,,2018,6,6.3,804,203,https://mubifinder.com/movie/jeny303/,https://mubi.com/films/jeny303
La libertad,,2017,30,7.8,2037,248,https://mubifinder.com/movie/la-libertad-2017/,https://mubi.com/films/la-libertad-2017
The Famous and the Dead,Os Famosos e os Duendes da Morte,2009,102,6.8,630,192,https://mubifinder.com/movie/the-famous-and-the-dead/,https://mubi.com/films/the-famous-and-the-dead
The Arrival,L'arrivée,1999,2,6.4,2565,248,https://mubifinder.com/movie/larrivee/,https://mubi.com/films/larrivee
Dawson City: Frozen Time,,2016,121,8.7,1506,145,https://mubifinder.com/movie/dawson-city-frozen-time/,https://mubi.com/films/dawson-city-frozen-time
Black Sun,Sol Negro,2016,43,7.0,1472,248,https://mubifinder.com/movie/sol-negro/,https://mubi.com/films/sol-negro
Hounds of Love,,2016,108,7.1,2029,164,https://mubifinder.com/movie/hounds-of-love-2016/,https://mubi.com/films/hounds-of-love-2016
Special Flight,Vol spécial,2011,99,8.7,910,245,https://mubifinder.com/movie/special-flight/,https://mubi.com/films/special-flight
Horse Money,Cavalo Dinheiro,2014,109,8.0,2550,210,https://mubifinder.com/movie/horse-money/,https://mubi.com/films/horse-money
In the Name of Christ,Au nom du Christ,1993,80,7.4,994,248,https://mubifinder.com/movie/in-the-name-of-christ/,https://mubi.com/films/in-the-name-of-christ
The Jester,O Bobo,1987,119,7.3,312,248,https://mubifinder.com/movie/the-jester/,https://mubi.com/films/the-jester
"Charles, Dead or Alive",Charles mort ou vif,1969,94,8.2,1502,245,https://mubifinder.com/movie/charles-dead-or-alive/,https://mubi.com/films/charles-dead-or-alive
Dogs Don’t Wear Pants,Koirat eivät käytä housuja,2019,101,8.1,23825,49,https://mubifinder.com/movie/dogs-don-t-wear-pants/,https://mubi.com/films/dogs-don-t-wear-pants
It Felt Like Love,,2013,83,6.5,3425,233,https://mubifinder.com/movie/it-felt-like-love/,https://mubi.com/films/it-felt-like-love
The Endless Film,La película infinita,2018,58,6.8,1239,248,https://mubifinder.com/movie/la-pelicula-infinita/,https://mubi.com/films/la-pelicula-infinita
Signal 8,,2019,14,7.2,1444,248,https://mubifinder.com/movie/signal-8/,https://mubi.com/films/signal-8
Good Manners,As Boas Maneiras,2017,136,7.4,3266,180,https://mubifinder.com/movie/good-manners/,https://mubi.com/films/good-manners
"Family Romance, LLC",,2019,89,8.5,11587,54,https://mubifinder.com/movie/family-romance-llc/,https://mubi.com/films/family-romance-llc
"My Skin, Luminous","Mi piel, luminosa",2019,40,6.5,1440,248,https://mubifinder.com/movie/my-skin-luminous/,https://mubi.com/films/my-skin-luminous
Minotaur,Minotauro,2015,53,5.8,582,248,https://mubifinder.com/movie/minotaur-2015/,https://mubi.com/films/minotaur-2015
White Ant,白蟻─慾望謎網 | Báiyǐ ─yùwàng mí wǎng,2016,95,7.0,1289,244,https://mubifinder.com/movie/white-ant/,https://mubi.com/films/white-ant
Le Moulin,Ri yao ri shih san pu zhe,2015,162,7.9,323,246,https://mubifinder.com/movie/le-moulin/,https://mubi.com/films/le-moulin
Flowers of Taipei: Taiwan New Cinema,Cinema,2014,109,8.2,1795,244,https://mubifinder.com/movie/flowers-of-taipei-taiwan-new-cinema/,https://mubi.com/films/flowers-of-taipei-taiwan-new-cinema
Within Our Gates,,1920,80,7.4,1456,248,https://mubifinder.com/movie/within-our-gates/,https://mubi.com/films/within-our-gates
Popeye the Sailor Meets Sindbad the Sailor,,1936,16,8.4,17731,248,https://mubifinder.com/movie/popeye-the-sailor-meets-sindbad-the-sailor/,https://mubi.com/films/popeye-the-sailor-meets-sindbad-the-sailor
Two Shots Fired,Dos disparos,2014,104,6.7,3600,241,https://mubifinder.com/movie/two-gun-shots/,https://mubi.com/films/two-gun-shots
B for Boy,,2013,113,8.0,799,183,https://mubifinder.com/movie/b-for-boy/,https://mubi.com/films/b-for-boy
The Deep End,Le Grand Bassin,2006,28,6.3,906,201,https://mubifinder.com/movie/le-grand-bassin/,https://mubi.com/films/le-grand-bassin
Letters to Max,,2014,103,7.8,573,247,https://mubifinder.com/movie/letters-to-max/,https://mubi.com/films/letters-to-max
Escape,L'échappée,2009,17,7.4,4021,199,https://mubifinder.com/movie/escape-2009/,https://mubi.com/films/escape-2009
My Name is Annemarie Schwarzenbach,Je suis Annemarie Schwarzenbach,2015,86,6.4,312,196,https://mubifinder.com/movie/my-name-is-annemarie-schwarzenbach/,https://mubi.com/films/my-name-is-annemarie-schwarzenbach
Scott Walker: 30 Century Man,,2006,100,8.4,2426,215,https://mubifinder.com/movie/scott-walker-30-century-man/,https://mubi.com/films/scott-walker-30-century-man
Occidental,,2017,74,5.8,1172,242,https://mubifinder.com/movie/occidental/,https://mubi.com/films/occidental
Brothers of the Night,Brüder der Nacht,2016,88,6.4,1968,211,https://mubifinder.com/movie/brothers-of-the-night/,https://mubi.com/films/brothers-of-the-night
Call Me Marianna,Mów mi Marianna,2015,73,8.3,1352,115,https://mubifinder.com/movie/call-me-marianna/,https://mubi.com/films/call-me-marianna
Living Still Life,La résurrection des natures mortes,2012,16,7.8,4973,247,https://mubifinder.com/movie/living-still-life/,https://mubi.com/films/living-still-life
Boro in the Box,,2011,40,8.2,4498,248,https://mubifinder.com/movie/boro-in-the-box/,https://mubi.com/films/boro-in-the-box
An Anthropological Television Myth,Un mito antropologico televisivo,2011,67,7.3,423,222,https://mubifinder.com/movie/an-anthropological-television-myth/,https://mubi.com/films/an-anthropological-television-myth
Bonsai,Bonsái,2016,79,4.9,218,165,https://mubifinder.com/movie/bonsai-2016/,https://mubi.com/films/bonsai-2016
Granny's Dancing on the Table,,2015,88,7.4,538,194,https://mubifinder.com/movie/granny-s-dancing-on-the-table/,https://mubi.com/films/granny-s-dancing-on-the-table
Baby Bump,,2015,86,6.0,561,196,https://mubifinder.com/movie/baby-bump/,https://mubi.com/films/baby-bump
Manito,,2002,76,6.7,219,228,https://mubifinder.com/movie/manito/,https://mubi.com/films/manito
The Odds,,2011,92,5.8,291,209,https://mubifinder.com/movie/the-odds/,https://mubi.com/films/the-odds
In omaggio all'arte italiana!,,2015,10,4.9,588,245,https://mubifinder.com/movie/in-omaggio-all-arte-italiana/,https://mubi.com/films/in-omaggio-all-arte-italiana
Cinerama's Russian Adventure,,1966,128,7.9,487,229,https://mubifinder.com/movie/cinerama-s-russian-adventure/,https://mubi.com/films/cinerama-s-russian-adventure
The Best of Cinerama,,1963,144,7.3,331,226,https://mubifinder.com/movie/the-best-of-cinerama/,https://mubi.com/films/the-best-of-cinerama
Where Is the Jungle?,,2015,33,7.4,807,180,https://mubifinder.com/movie/where-is-the-jungle/,https://mubi.com/films/where-is-the-jungle
Paris 05:59: Théo & Hugo,Théo et Hugo dans le même bateau,2016,97,8.0,4474,1,https://mubifinder.com/movie/paris-05-59/,https://mubi.com/films/paris-05-59
Papirosen,,2011,76,7.1,886,244,https://mubifinder.com/movie/papirosen/,https://mubi.com/films/papirosen
My Friend From The Park,Mi amiga del parque,2015,86,6.8,401,143,https://mubifinder.com/movie/my-friend-from-the-park/,https://mubi.com/films/my-friend-from-the-park
Kimjongilia,,2009,75,7.4,1898,218,https://mubifinder.com/movie/kimjongilia/,https://mubi.com/films/kimjongilia
Crayons of Askalan,,2012,53,7.6,363,244,https://mubifinder.com/movie/crayons-of-askalan/,https://mubi.com/films/crayons-of-askalan
Don't Expect Too Much,,2011,73,7.4,895,242,https://mubifinder.com/movie/dont-expect-too-much/,https://mubi.com/films/dont-expect-too-much
Radio Mary,,2017,77,5.6,1424,246,https://mubifinder.com/movie/radio-mary/,https://mubi.com/films/radio-mary
The Dream of Lu,El sueño de Lú,2011,102,7.8,940,244,https://mubifinder.com/movie/the-dream-of-lu/,https://mubi.com/films/the-dream-of-lu
A Radiant Life,Une vie radieuse,2013,17,6.4,1806,227,https://mubifinder.com/movie/a-radiant-life/,https://mubi.com/films/a-radiant-life
Buffalo Juggalos,,2014,30,6.4,1537,244,https://mubifinder.com/movie/buffalo-juggalos/,https://mubi.com/films/buffalo-juggalos
Malaventura,,2011,67,6.7,430,226,https://mubifinder.com/movie/malaventura/,https://mubi.com/films/malaventura
Indecent Desires,,1968,71,5.1,1056,228,https://mubifinder.com/movie/indecent-desires/,https://mubi.com/films/indecent-desires
Bad Girls Go to Hell,,1965,64,5.3,908,228,https://mubifinder.com/movie/bad-girls-go-to-hell/,https://mubi.com/films/bad-girls-go-to-hell
Nude on the Moon,,1961,70,4.6,1076,227,https://mubifinder.com/movie/nude-on-the-moon/,https://mubi.com/films/nude-on-the-moon
Opium,,2016,46,5.4,281,245,https://mubifinder.com/movie/opium-2016/,https://mubi.com/films/opium-2016
From What is Before,Mula sa Kung Ano ang Noon,2014,339,8.6,1278,248,https://mubifinder.com/movie/from-what-is-before/,https://mubi.com/films/from-what-is-before
Isabella Morra,,2015,22,5.3,245,218,https://mubifinder.com/movie/isabella-morra/,https://mubi.com/films/isabella-morra
From the Reports of Security Guards & Patrol Services No.1,Nr. 1 - Aus Berichten der Wach- und Patrouillendienste,1985,10,7.8,1832,248,https://mubifinder.com/movie/from-the-reports-of-security-guards-patrol-services-no1/,https://mubi.com/films/from-the-reports-of-security-guards-patrol-services-no1
Century of Birthing,Siglo ng pagluluwal,2011,359,8.0,417,248,https://mubifinder.com/movie/century-of-birthing/,https://mubi.com/films/century-of-birthing
The Modern Jungle,,2016,71,7.2,431,225,https://mubifinder.com/movie/the-modern-jungle/,https://mubi.com/films/the-modern-jungle
Rouge,"Rouge, le portrait mensonger de Bertrand Bonello",2015,60,7.0,1462,246,https://mubifinder.com/movie/rouge-2015/,https://mubi.com/films/rouge-2015
The Valley Below,,2014,87,7.2,366,241,https://mubifinder.com/movie/the-valley-below/,https://mubi.com/films/the-valley-below
"Storm Children, Book One","Mga Anak ng Unos, Unang Aklat",2014,143,7.2,477,248,https://mubifinder.com/movie/storm-children-book-one/,https://mubi.com/films/storm-children-book-one
Nana,,2011,65,7.3,1218,224,https://mubifinder.com/movie/nana-2011/,https://mubi.com/films/nana-2011
The Wife Master,,2012,81,5.9,397,243,https://mubifinder.com/movie/the-wife-master/,https://mubi.com/films/the-wife-master
"Florentina Hubaldo, CTE",,2012,367,8.2,498,248,https://mubifinder.com/movie/florentina-hubaldo-cte/,https://mubi.com/films/florentina-hubaldo-cte
She's Lost Control,,2014,90,6.8,1439,227,https://mubifinder.com/movie/shes-lost-control/,https://mubi.com/films/shes-lost-control
The Fortress,La forteresse,2008,101,8.2,696,245,https://mubifinder.com/movie/the-fortress-2008/,https://mubi.com/films/the-fortress-2008
The Imprint,La huella,2012,18,7.2,454,227,https://mubifinder.com/movie/the-imprint/,https://mubi.com/films/the-imprint
Fogo,,2012,61,7.1,798,231,https://mubifinder.com/movie/fogo/,https://mubi.com/films/fogo
Primer,,2004,77,7.4,11056,189,https://mubifinder.com/movie/primer/,https://mubi.com/films/primer
An Investigation on the Night that Won’t Forget,Pagsisiyasat sa Gabing Ayaw Lumimot,2012,70,6.2,383,248,https://mubifinder.com/movie/an-investigation-on-the-night-that-wont-forget/,https://mubi.com/films/an-investigation-on-the-night-that-wont-forget
Outer Space,,1999,10,8.1,9708,248,https://mubifinder.com/movie/outer-space/,https://mubi.com/films/outer-space
Trash Humpers,,2009,78,6.2,3095,197,https://mubifinder.com/movie/trash-humpers/,https://mubi.com/films/trash-humpers
"OK, Good",,2012,79,6.9,631,246,https://mubifinder.com/movie/ok-good/,https://mubi.com/films/ok-good
Elegy to the Visitor from the Revolution,Elehiya sa dumalaw mula sa himagsikan,2011,80,6.6,644,248,https://mubifinder.com/movie/elegy-to-the-visitor-from-the-revolution/,https://mubi.com/films/elegy-to-the-visitor-from-the-revolution
Arcadia,,2012,91,7.6,933,211,https://mubifinder.com/movie/arcadia/,https://mubi.com/films/arcadia
The Matador,,2008,75,7.1,388,216,https://mubifinder.com/movie/the-matador-2008/,https://mubi.com/films/the-matador-2008
The Mutability of All Things and the Possibility of Changing Some,De la mutabilité de toute chose et de la possibilité d'en changer certaines,2011,17,5.7,554,224,https://mubifinder.com/movie/the-mutability-of-all-things-and-the-possibility-of-changing-some/,https://mubi.com/films/the-mutability-of-all-things-and-the-possibility-of-changing-some
Toomelah,,2011,101,7.4,253,230,https://mubifinder.com/movie/toomelah/,https://mubi.com/films/toomelah
Hide and Seek,Chuppan Chupai,2013,67,8.0,1078,244,https://mubifinder.com/movie/hide-and-seek-2013-saadat-munir/,https://mubi.com/films/hide-and-seek-2013-saadat-munir
Hail,,2011,104,7.1,637,239,https://mubifinder.com/movie/hail/,https://mubi.com/films/hail
Melancholia,,2008,447,8.4,954,248,https://mubifinder.com/movie/melancholia/,https://mubi.com/films/melancholia
The Ghost That Never Returns,"Привидение, которое не возвращается",1930,94,7.4,409,224,https://mubifinder.com/movie/the-ghost-that-never-returns/,https://mubi.com/films/the-ghost-that-never-returns
A Master Builder,,2013,127,6.8,223,200,https://mubifinder.com/movie/a-master-builder/,https://mubi.com/films/a-master-builder
White Turnips Make It Hard to Sleep,Les navets blancs empêchent de dormir,2011,29,7.4,2858,245,https://mubifinder.com/movie/white-turnips-make-it-hard-to-sleep/,https://mubi.com/films/white-turnips-make-it-hard-to-sleep
For You I Will Fight,Pour toi je ferai bataille,2010,21,6.6,1715,246,https://mubifinder.com/movie/for-you-i-will-fight/,https://mubi.com/films/for-you-i-will-fight
Charlie's Country,,2013,108,8.6,1175,195,https://mubifinder.com/movie/charlies-country/,https://mubi.com/films/charlies-country
A Teacher,,2013,75,5.5,616,223,https://mubifinder.com/movie/a-teacher/,https://mubi.com/films/a-teacher
Manuela Jankovic's War,La guerra de Manuela Jankovic,2014,92,7.7,452,218,https://mubifinder.com/movie/manuela-jankovic-s-war/,https://mubi.com/films/manuela-jankovic-s-war
Memphis,,2013,79,6.7,213,215,https://mubifinder.com/movie/memphis-2013/,https://mubi.com/films/memphis-2013
Arranged,,2007,92,7.1,209,217,https://mubifinder.com/movie/arranged/,https://mubi.com/films/arranged
Heremias (Book One: The Legend of the Lizard Princess),Heremias (Unang aklat: Ang alamat ng prinsesang bayawak),2006,519,8.0,346,248,https://mubifinder.com/movie/heremias-book-one-the-legend-of-the-lizard-princess/,https://mubi.com/films/heremias-book-one-the-legend-of-the-lizard-princess
Arena Azteca Budokan,,2014,46,6.5,269,244,https://mubifinder.com/movie/arena-azteca-budokan/,https://mubi.com/films/arena-azteca-budokan
King of Belgians,Le roi des belges,2012,26,5.8,256,223,https://mubifinder.com/movie/king-of-belgians/,https://mubi.com/films/king-of-belgians
Further Beyond,,2016,88,8.1,1526,244,https://mubifinder.com/movie/further-beyond/,https://mubi.com/films/further-beyond
I Won't Come Back,Ya ne vernus,2014,109,8.4,2224,200,https://mubifinder.com/movie/i-wont-come-back/,https://mubi.com/films/i-wont-come-back
Evolution of a Filipino Family,Ebolusyon ng Isang Pamilyang Pilipino,2005,625,8.5,657,248,https://mubifinder.com/movie/evolution-of-a-filipino-family/,https://mubi.com/films/evolution-of-a-filipino-family
Another Country,,2015,75,8.8,633,6,https://mubifinder.com/movie/another-country-2015/,https://mubi.com/films/another-country-2015
You Are Here,,2010,78,7.4,871,240,https://mubifinder.com/movie/you-are-here/,https://mubi.com/films/you-are-here
Rocket Rain,,2013,99,5.9,202,247,https://mubifinder.com/movie/rocket-rain/,https://mubi.com/films/rocket-rain
The Reconstruction,Ha-Shich'zoor,1994,50,6.4,233,229,https://mubifinder.com/movie/the-reconstruction/,https://mubi.com/films/the-reconstruction
10.000 Km,,2014,104,7.3,4210,176,https://mubifinder.com/movie/10000-km/,https://mubi.com/films/10000-km
La Paz in Buenos Aires,La Paz en Buenos Aires,2013,69,7.1,344,248,https://mubifinder.com/movie/la-paz-in-buenos-aires/,https://mubi.com/films/la-paz-in-buenos-aires
Plastic and glass,,2009,9,6.9,513,230,https://mubifinder.com/movie/plastic-and-glass/,https://mubi.com/films/plastic-and-glass
Merry-Go-Round,,1981,160,6.7,712,201,https://mubifinder.com/movie/merry-go-round/,https://mubi.com/films/merry-go-round
Bad Seed,Mauvaise graine,1934,73,6.9,1249,233,https://mubifinder.com/movie/bad-seed-1934/,https://mubi.com/films/bad-seed-1934
Noroît,,1976,135,6.9,904,196,https://mubifinder.com/movie/noroit/,https://mubi.com/films/noroit
Duelle,Duelle (une quarantaine),1976,121,7.5,2189,208,https://mubifinder.com/movie/duelle/,https://mubi.com/films/duelle
The Future,Il futuro,2013,95,7.0,732,180,https://mubifinder.com/movie/the-future-2013/,https://mubi.com/films/the-future-2013
Parador Húngaro,,2014,79,7.6,506,245,https://mubifinder.com/movie/parador-hungaro/,https://mubi.com/films/parador-hungaro
The Reluctant Revolutionary,,2012,70,8.5,1678,244,https://mubifinder.com/movie/the-reluctant-revolutionary/,https://mubi.com/films/the-reluctant-revolutionary
The Skywalk Is Gone,天橋不見了 | Tian qiao bu jian le,2002,22,7.2,2403,225,https://mubifinder.com/movie/the-skywalk-is-gone/,https://mubi.com/films/the-skywalk-is-gone
"Dance Party, USA",,2006,67,6.5,1135,224,https://mubifinder.com/movie/dance-party-usa/,https://mubi.com/films/dance-party-usa
Too Late for Tears,Killer Bait,1949,101,7.4,756,101,https://mubifinder.com/movie/killer-bait/,https://mubi.com/films/killer-bait
Jess + Moss,,2011,82,7.7,2362,221,https://mubifinder.com/movie/jess-moss/,https://mubi.com/films/jess-moss
Sheep,Mouton,2013,96,6.2,666,244,https://mubifinder.com/movie/sheep-2013/,https://mubi.com/films/sheep-2013
We Can't Go Home Again,,1973,95,7.0,668,242,https://mubifinder.com/movie/we-cant-go-home-again/,https://mubi.com/films/we-cant-go-home-again
Blind Pig Who Wants to Fly,Babi Buta Yang Ingin Terbang,2008,73,6.5,966,244,https://mubifinder.com/movie/blind-pig-who-wants-to-fly/,https://mubi.com/films/blind-pig-who-wants-to-fly
Land of My Dreams,,2012,20,6.2,2446,245,https://mubifinder.com/movie/land-of-my-dreams/,https://mubi.com/films/land-of-my-dreams
"Something, Anything",,2014,89,7.0,1875,243,https://mubifinder.com/movie/something-anything/,https://mubi.com/films/something-anything
Waging War,Pour faire la guerre,2013,31,5.9,312,242,https://mubifinder.com/movie/waging-war/,https://mubi.com/films/waging-war
