title,original_title,year,duration_mins,rating,votes,countries_available,url,mubi_url
Sweet Country,,2017,113,8.0,694,1,https://mubifinder.com/movie/sweet-country-2017/,https://mubi.com/films/sweet-country-2017
A Regular Woman,Nur eine Frau,2019,93,9.1,4030,191,https://mubifinder.com/movie/a-regular-woman/,https://mubi.com/films/a-regular-woman
City Hall,,2020,275,8.0,360,213,https://mubifinder.com/movie/city-hall-2020/,https://mubi.com/films/city-hall-2020
Model,,1980,130,8.0,431,215,https://mubifinder.com/movie/model/,https://mubi.com/films/model
Law and Order,,1969,82,8.4,632,215,https://mubifinder.com/movie/law-and-order/,https://mubi.com/films/law-and-order
High School,,1968,75,8.4,1299,215,https://mubifinder.com/movie/high-school/,https://mubi.com/films/high-school
In Jackson Heights,,2015,181,8.3,411,215,https://mubifinder.com/movie/in-jackson-heights/,https://mubi.com/films/in-jackson-heights
Aspen,,1991,147,7.6,255,215,https://mubifinder.com/movie/aspen/,https://mubi.com/films/aspen
Bullhead,Rundskop,2011,124,7.6,1403,1,https://mubifinder.com/movie/bullhead/,https://mubi.com/films/bullhead
Otherwise in Istanbul,Bazen Hep Birlikte,2024,76,8.4,200,1,https://mubifinder.com/movie/otherwise-in-istanbul/,https://mubi.com/films/otherwise-in-istanbul
Tülay German: Years of Fire and Cinders,Tülay German: Kor ve Ateş Yılları,2010,51,9.0,775,1,https://mubifinder.com/movie/tulay-german-years-of-fire-and-cinders/,https://mubi.com/films/tulay-german-years-of-fire-and-cinders
Being John Malkovich,,1999,113,8.2,31257,49,https://mubifinder.com/movie/being-john-malkovich/,https://mubi.com/films/being-john-malkovich
Corsage,,2022,114,7.9,5440,100,https://mubifinder.com/movie/corsage/,https://mubi.com/films/corsage
Offside,,2006,92,8.5,3689,218,https://mubifinder.com/movie/offside/,https://mubi.com/films/offside
The White Balloon,Badkonake sefid,1995,84,8.7,5446,232,https://mubifinder.com/movie/the-white-balloon/,https://mubi.com/films/the-white-balloon
No Bears,خرس نیست | Khers Nist,2022,107,8.6,1525,33,https://mubifinder.com/movie/no-bears/,https://mubi.com/films/no-bears
3 Faces,سه چهره | Se rokh,2018,101,8.2,2716,51,https://mubifinder.com/movie/3-faces-2018/,https://mubi.com/films/3-faces-2018
Taxi Tehran,تاکسی | Taxi,2015,82,8.6,6746,58,https://mubifinder.com/movie/taxi-tehran-2015/,https://mubi.com/films/taxi-tehran-2015
Closed Curtain,Pardé,2013,102,7.3,961,92,https://mubifinder.com/movie/closed-curtain/,https://mubi.com/films/closed-curtain
Crimson Gold,Talaye Sorgh | طلای سرخ,2003,96,8.2,2726,90,https://mubifinder.com/movie/crimson-gold/,https://mubi.com/films/crimson-gold
The Circle,Dayereh,2000,91,8.3,2511,90,https://mubifinder.com/movie/the-circle/,https://mubi.com/films/the-circle
The Mirror,Ayneh,1997,94,8.4,2057,90,https://mubifinder.com/movie/the-mirror-1997/,https://mubi.com/films/the-mirror-1997
Discipline,Miu Miu Women's Tales #31,2026,14,7.8,2607,248,https://mubifinder.com/movie/discipline-2026/,https://mubi.com/films/discipline-2026
Madeinusa,,2006,100,7.4,541,162,https://mubifinder.com/movie/madeinusa/,https://mubi.com/films/madeinusa
The Capsule,,2012,36,6.3,4945,226,https://mubifinder.com/movie/the-capsule/,https://mubi.com/films/the-capsule
Chevalier,,2015,105,6.8,1655,194,https://mubifinder.com/movie/chevalier/,https://mubi.com/films/chevalier
Home Cooking,Aç Açına,2024,15,6.0,189,1,https://mubifinder.com/movie/home-cooking-2024/,https://mubi.com/films/home-cooking-2024
Wild Women of Anatolia,Anadolu'nun Deli Kadınları,2024,89,8.5,279,1,https://mubifinder.com/movie/wild-women-of-anatolia/,https://mubi.com/films/wild-women-of-anatolia
It Was Just an Accident,Yek tasadof-e sadeh,2025,104,8.7,21633,70,https://mubifinder.com/movie/it-was-just-an-accident/,https://mubi.com/films/it-was-just-an-accident
Wadjda,,2012,97,8.8,9236,173,https://mubifinder.com/movie/wadjda/,https://mubi.com/films/wadjda
We Need to Talk About Kevin,,2011,113,8.6,39172,48,https://mubifinder.com/movie/we-need-to-talk-about-kevin/,https://mubi.com/films/we-need-to-talk-about-kevin
Millennium Mambo,千禧曼波  | Qian xi man po,2001,105,7.6,3492,22,https://mubifinder.com/movie/millennium-mambo/,https://mubi.com/films/millennium-mambo
Ingrid Goes West,,2017,98,6.9,3275,49,https://mubifinder.com/movie/ingrid-goes-west/,https://mubi.com/films/ingrid-goes-west
Thoroughbreds,Thoroughbred,2017,93,7.1,4157,49,https://mubifinder.com/movie/thoroughbred/,https://mubi.com/films/thoroughbred
Fargo,,1996,98,8.6,42742,16,https://mubifinder.com/movie/fargo/,https://mubi.com/films/fargo
The Silence of the Lambs,,1991,119,8.4,34057,47,https://mubifinder.com/movie/the-silence-of-the-lambs/,https://mubi.com/films/the-silence-of-the-lambs
Midnight Cowboy,,1969,113,8.6,8658,47,https://mubifinder.com/movie/midnight-cowboy/,https://mubi.com/films/midnight-cowboy
In the Heat of the Night,,1967,110,8.1,2127,27,https://mubifinder.com/movie/in-the-heat-of-the-night/,https://mubi.com/films/in-the-heat-of-the-night
Lawrence of Arabia,,1962,227,8.3,10211,1,https://mubifinder.com/movie/lawrence-of-arabia/,https://mubi.com/films/lawrence-of-arabia
Close Encounters of the Third Kind,,1977,137,7.6,6230,1,https://mubifinder.com/movie/close-encounters-of-the-third-kind/,https://mubi.com/films/close-encounters-of-the-third-kind
Nickel Boys,,2024,140,8.2,1243,30,https://mubifinder.com/movie/nickel-boys/,https://mubi.com/films/nickel-boys
Father Mother Sister Brother,,2025,110,7.9,13029,67,https://mubifinder.com/movie/father-mother-sister-brother/,https://mubi.com/films/father-mother-sister-brother
Félicité,,2017,124,8.0,1354,19,https://mubifinder.com/movie/felicite/,https://mubi.com/films/felicite
All That Jazz,,1979,123,8.3,2872,1,https://mubifinder.com/movie/all-that-jazz/,https://mubi.com/films/all-that-jazz
Pictures of Ghosts,Retratos Fantasmas,2023,93,8.7,1926,242,https://mubifinder.com/movie/pictures-of-ghosts/,https://mubi.com/films/pictures-of-ghosts
A Dream Longer Than the Night,Un rêve plus long que la nuit,1976,82,6.8,397,205,https://mubifinder.com/movie/a-dream-longer-than-the-night/,https://mubi.com/films/a-dream-longer-than-the-night
Being John Smith,,2024,27,8.3,988,247,https://mubifinder.com/movie/being-john-smith/,https://mubi.com/films/being-john-smith
A House Made of Splinters,,2022,87,8.0,110,1,https://mubifinder.com/movie/a-house-made-of-splinters/,https://mubi.com/films/a-house-made-of-splinters
12 Hours,,2022,33,6.3,174,1,https://mubifinder.com/movie/12-hours-2022/,https://mubi.com/films/12-hours-2022
The Tower,,2018,73,8.9,839,1,https://mubifinder.com/movie/the-tower-2018-mats-grorud/,https://mubi.com/films/the-tower-2018-mats-grorud
The Servant,,1963,116,8.7,10630,16,https://mubifinder.com/movie/the-servant/,https://mubi.com/films/the-servant
Punch-Drunk Love,,2002,95,7.7,13390,1,https://mubifinder.com/movie/punch-drunk-love/,https://mubi.com/films/punch-drunk-love
Sirât,,2025,115,8.3,19346,65,https://mubifinder.com/movie/sirat/,https://mubi.com/films/sirat
Motel Destino,,2024,115,7.5,5382,157,https://mubifinder.com/movie/motel-destino/,https://mubi.com/films/motel-destino
Elena,Елена,2011,105,7.5,1975,1,https://mubifinder.com/movie/elena/,https://mubi.com/films/elena
When the Fog is Swept Away,Sisler Kovulunca,1986,41,9.2,263,1,https://mubifinder.com/movie/when-the-fog-is-swept-away/,https://mubi.com/films/when-the-fog-is-swept-away
Forty Thousand Steps in the Covered Bazaar,Kapalıçarşı'da Kırk Bin Adım,1980,29,9.1,432,1,https://mubifinder.com/movie/forty-thousand-steps-in-the-covered-bazaar/,https://mubi.com/films/forty-thousand-steps-in-the-covered-bazaar
Fatma of the Forest,Tahtacı Fatma,1979,28,9.6,963,1,https://mubifinder.com/movie/fatma-of-the-forest/,https://mubi.com/films/fatma-of-the-forest
The Ballad of the Wood,Ağacın Türküsü,1987,36,9.5,264,1,https://mubifinder.com/movie/the-ballad-of-the-wood/,https://mubi.com/films/the-ballad-of-the-wood
Three Days in Kula,Kula'da Üç Gün,1983,38,9.3,316,1,https://mubifinder.com/movie/three-days-in-kula/,https://mubi.com/films/three-days-in-kula
Erciyes'in Bereketi,,1987,31,9.3,220,1,https://mubifinder.com/movie/erciyes-in-bereketi/,https://mubi.com/films/erciyes-in-bereketi
Ozanlar ve Evler,,1987,30,9.3,229,1,https://mubifinder.com/movie/ozanlar-ve-evler/,https://mubi.com/films/ozanlar-ve-evler
A Serious Man,,2009,106,7.6,12070,3,https://mubifinder.com/movie/a-serious-man/,https://mubi.com/films/a-serious-man
